country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,0.00554,0.00524,0.00389,0.004,0.00495,0.0057,0.00154,0.0013,0.00146,0.00117,0.00144,0.00273,0.00345,0.0017,0.00384,0.00331,0.00226,0.0406,0.0351,0.0377,0.0382,0.0381,0.0442,0.0405,0.0333,0.0254,0.0256,0.0297,0.0237,0.0219,0.0215,0.00993,0.0171,0.0181,0.0191,0.0155,0.0177,0.023,0.0187,0.022,0.0178,0.0261,0.0221,0.0217,0.0137,0.00858,0.00747,0.00777,0.00412,0.00458,0.00361,0.00356
Argentina,0.0357,0.0369,0.0356,0.0282,0.0371,0.0409,0.0331,0.0291,0.0301,0.038,0.0404,0.0406,0.0316,0.0445,0.0347,0.0332,0.0297,0.0291,0.026,0.0173,0.0198,0.029,0.0317,0.0324,0.032,0.0287,0.0221,0.0193,0.0225,0.0314,0.0278,0.0258,0.0236,0.0202,0.0201,0.0166,0.0177,0.0148,0.0178,0.0277,0.0288,0.0267,0.0305,0.0345,0.0234,0.0308,0.0372,0.0311,0.0295,0.0346,0.0313,0.0241
Australia,1.53,1.55,1.55,1.55,1.57,1.55,1.53,1.57,1.61,1.66,1.69,1.73,1.79,1.81,1.87,1.91,1.93,1.92,1.9,1.98,2.01,2.03,2.08,2.15,2.22,2.24,2.26,2.24,2.23,2.25,2.3,2.37,2.47,2.55,2.53,2.52,2.46,2.49,2.53,2.61,2.56,2.58,2.51,2.57,2.44,2.23,2.14,1.98,1.86,1.82,1.85,1.82
Austria,0.696,0.66,0.621,0.61,0.597,0.639,0.583,0.527,0.522,0.549,0.477,0.507,0.426,0.433,0.471,0.484,0.496,0.472,0.505,0.575,0.574,0.511,0.506,0.483,0.484,0.53,0.553,0.427,0.381,0.384,0.434,0.434,0.46,0.405,0.401,0.453,0.466,0.471,0.5,0.487,0.485,0.491,0.47,0.45,0.344,0.402,0.41,0.379,0.382,0.347,0.373,0.364
Azerbaijan,,,,,,,,,,,,,,,,,,,,,0.0138,0.0136,0.0134,0.0131,0.0129,0.0123,0.00911,0.00161,0.0004,0.00052,0.00039,0.00038,0.00038,0,0,0,0.00037,0.00024,0.00036,0.00011,0.00038,0.00037,0.00014,0.00079,0.00046,0.00006,0.00038,0.00006,0.00031,0.00017,0.00004,0.00004
Bangladesh,0,0,0,0,0,0,0,0.00138,0.00177,0.00154,0.00175,0.00169,0.00172,0.00162,0.00117,0.00152,0.00152,0.0018,0.00099,0.00039,0.00053,0.00077,0.00118,0.00119,0.00121,0.00265,0.00083,0.00076,0.00028,0.00025,0.0027,0.00145,0.00261,0.00074,0.00036,0.00251,0.00261,0.00267,0.00251,0.00248,0.00335,0.00324,0.0042,0.00431,0.00515,0.00532,0.00474,0.00579,0.00612,0.00488,0.0043,0.00499
Belarus,,,,,,,,,,,,,,,,,,,,,0.217,0.236,0.228,0.242,0.237,0.208,0.197,0.164,0.142,0.0994,0.0939,0.114,0.121,0.108,0.1,0.1,0.0724,0.0687,0.0651,0.0642,0.0713,0.0642,0.0728,0.0681,0.065,0.0681,0.0819,0.0835,0.0907,0.083,0.0702,0.0821
Belgium,2.03,1.84,1.8,1.85,1.8,1.69,1.39,1.33,1.11,1.18,0.882,0.917,0.928,0.949,1.06,1.06,1.1,1.1,0.938,1.09,1.08,0.922,0.917,0.925,0.97,1.06,1,0.914,0.839,0.883,0.849,0.809,0.781,0.786,0.688,0.778,0.717,0.618,0.577,0.56,0.49,0.466,0.413,0.422,0.289,0.344,0.319,0.29,0.3,0.297,0.282,0.262
Brazil,0.0208,0.0219,0.022,0.0211,0.023,0.0256,0.0251,0.0258,0.0247,0.0256,0.0297,0.031,0.0384,0.0431,0.0457,0.0487,0.0466,0.0481,0.0529,0.0638,0.0739,0.0733,0.0752,0.0754,0.0734,0.0643,0.0724,0.0691,0.07,0.0707,0.073,0.0741,0.0734,0.0708,0.0706,0.0742,0.072,0.0687,0.0704,0.0729,0.0695,0.0678,0.0711,0.0713,0.057,0.0735,0.0778,0.0762,0.0814,0.0858,0.0858,0.0795
Bulgaria,0.729,0.746,0.805,0.868,0.867,0.943,0.925,0.948,0.95,0.929,0.97,0.9,0.894,0.95,0.977,1.02,1.03,1.08,1.08,1.08,1.12,1.15,1.16,1.08,1.11,0.986,0.878,0.871,0.949,0.894,0.91,0.932,0.954,0.922,0.804,0.804,0.913,0.845,0.939,0.932,0.897,0.914,1.04,1.01,0.858,0.931,1.1,0.948,0.816,0.886,0.922,0.806
Canada,0.785,0.757,0.737,0.787,0.747,0.789,0.738,0.685,0.695,0.696,0.668,0.78,0.985,0.801,0.75,0.904,0.913,0.955,0.989,1.09,1.04,0.948,1,1.06,1.05,0.98,0.937,0.943,0.827,0.868,0.898,0.907,0.94,0.996,0.949,0.995,1.02,1.02,1.01,0.939,0.931,0.893,0.917,0.88,0.695,0.725,0.63,0.603,0.589,0.554,0.546,0.515
Chile,0.135,0.136,0.133,0.131,0.128,0.134,0.127,0.103,0.11,0.103,0.0807,0.0802,0.085,0.0816,0.0889,0.0968,0.0951,0.0624,0.0737,0.0978,0.0963,0.09,0.0911,0.125,0.166,0.197,0.159,0.135,0.134,0.156,0.166,0.227,0.291,0.271,0.276,0.21,0.163,0.163,0.154,0.176,0.171,0.211,0.248,0.262,0.237,0.264,0.336,0.388,0.432,0.432,0.412,0.46
China,0.158,0.165,0.143,0.138,0.162,0.201,0.226,0.234,0.232,0.224,0.248,0.25,0.271,0.293,0.299,0.306,0.3,0.313,0.331,0.354,0.38,0.39,0.416,0.438,0.451,0.45,0.465,0.481,0.507,0.535,0.537,0.557,0.542,0.534,0.546,0.55,0.575,0.627,0.743,0.861,1,1.09,1.19,1.2,1.25,1.29,1.39,1.4,1.42,1.41,1.37,1.34
Colombia,0.105,0.102,0.109,0.0963,0.1,0.102,0.0771,0.0783,0.078,0.0922,0.0916,0.0876,0.0878,0.0867,0.0855,0.0877,0.0873,0.0889,0.0958,0.0975,0.0985,0.0952,0.117,0.0917,0.104,0.0466,0.0575,0.0945,0.0974,0.11,0.0964,0.0735,0.0858,0.0803,0.0632,0.0669,0.0649,0.0527,0.0576,0.0497,0.0309,0.0848,0.0728,0.109,0.0881,0.102,0.0804,0.0983,0.105,0.11,0.11,0.0942
Czech Republic,3.6,3.59,3.47,3.59,3.74,3.78,3.93,3.85,3.75,3.71,3.77,3.82,3.87,3.87,3.85,3.72,3.69,3.72,3.71,3.78,3.7,3.69,3.64,3.69,3.54,3.04,2.79,2.49,2.38,2.2,2.19,2.18,2.24,2.06,1.79,2.1,2.06,2.03,2.06,2.05,1.97,2.04,2.07,1.89,1.68,1.78,1.74,1.64,1.62,1.51,1.56,1.59
Denmark,0.777,0.874,0.743,0.661,0.599,0.476,0.29,0.294,0.449,0.422,0.405,0.561,0.643,0.707,0.842,1.2,0.959,1.16,1.11,1.17,1.42,1.44,1.41,1.32,1.08,1.18,1.6,1.33,1.39,1.49,1.24,1.7,1.26,1.06,0.889,0.743,0.783,0.782,1.06,0.813,0.684,1.03,0.851,0.745,0.729,0.69,0.58,0.441,0.574,0.464,0.304,0.367
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0.0131,0.00864,0.013,0.0132,0.0138,0.0125,0.01,0.00865,0.00737,0.0126,0.0147,0.0141,0.0157,0.0147,0.0159,0.0125,0.0157,0.0158,0.0146,0.0144,0.0148,0.0145,0.0149,0.0159,0.0158,0.0132,0.0133,0.0133,0.0157,0.0166,0.0109,0.0147,0.0122,0.0118,0.0105,0.0124,0.0107,0.0113,0.0115,0.0115,0.0111,0.0109,0.00973,0.0086,0.00751,0.00552,0.00513,0.00445,0.0043,0.00429,0.00439,0.0045
Finland,0.381,0.353,0.339,0.408,0.488,0.493,0.435,0.481,0.532,0.539,0.487,0.654,0.658,0.886,0.851,0.963,0.588,0.65,0.702,0.804,1.02,0.924,1.03,1.03,1,1.05,1.05,0.949,1.08,1.31,1.15,1.37,1.29,1.06,1.02,0.967,1.17,1.26,1.57,1.41,0.902,1.4,1.32,1,1.01,1.26,1.02,0.834,0.919,0.818,0.691,0.745
France,0.845,0.776,0.76,0.726,0.722,0.682,0.62,0.546,0.535,0.537,0.468,0.547,0.525,0.546,0.591,0.576,0.523,0.532,0.479,0.456,0.44,0.362,0.328,0.318,0.344,0.333,0.353,0.31,0.252,0.247,0.252,0.267,0.233,0.276,0.246,0.238,0.207,0.212,0.224,0.212,0.219,0.201,0.207,0.194,0.171,0.183,0.154,0.174,0.181,0.135,0.13,0.128
Germany,2.11,1.95,1.87,1.88,1.93,1.9,1.81,1.77,1.77,1.78,1.61,1.7,1.64,1.66,1.76,1.81,1.84,1.8,1.87,1.93,1.92,1.81,1.8,1.77,1.79,1.66,1.45,1.3,1.22,1.18,1.12,1.11,1.07,1.05,1.01,1.05,1.05,1.05,1.07,1.04,0.995,1.04,1.07,0.988,0.886,0.953,0.968,0.993,1.02,0.977,0.96,0.919
Greece,0.249,0.248,0.236,0.265,0.255,0.292,0.428,0.454,0.53,0.553,0.717,0.836,0.877,0.768,0.416,0.411,0.403,0.406,0.495,0.525,0.606,0.576,0.654,0.731,0.781,0.787,0.751,0.782,0.773,0.793,0.778,0.73,0.779,0.809,0.772,0.811,0.832,0.8,0.791,0.807,0.791,0.743,0.776,0.729,0.736,0.687,0.69,0.715,0.617,0.594,0.5,0.419
Hungary,1.07,1.02,0.886,0.871,0.88,0.891,0.86,0.834,0.836,0.795,0.754,0.761,0.769,0.764,0.767,0.751,0.755,0.79,0.746,0.729,0.72,0.714,0.717,0.679,0.61,0.6,0.584,0.505,0.469,0.457,0.447,0.459,0.446,0.416,0.406,0.377,0.355,0.356,0.369,0.334,0.301,0.306,0.313,0.306,0.258,0.275,0.274,0.263,0.23,0.226,0.242,0.234
India,0.0714,0.0698,0.0695,0.0704,0.0732,0.0678,0.0673,0.0694,0.0669,0.0738,0.0775,0.0789,0.0807,0.0763,0.0792,0.0814,0.0895,0.0865,0.0897,0.0921,0.0943,0.0991,0.106,0.112,0.119,0.126,0.131,0.137,0.139,0.14,0.146,0.147,0.151,0.154,0.149,0.156,0.155,0.159,0.164,0.171,0.185,0.189,0.204,0.217,0.231,0.236,0.244,0.261,0.276,0.3,0.303,0.311
Indonesia,0.00129,0.00153,0.00105,0.00076,0.00089,0.00076,0.00085,0.00083,0.00054,0.00057,0.00071,0.00069,0.00073,0.00095,0.00139,0.00172,0.00179,0.00165,0.00161,0.00165,0.00545,0.00859,0.0132,0.0135,0.0199,0.0189,0.0188,0.0225,0.0258,0.0254,0.0275,0.0323,0.0393,0.0416,0.0565,0.0622,0.0779,0.0793,0.105,0.0951,0.107,0.126,0.155,0.133,0.139,0.163,0.191,0.213,0.226,0.177,0.198,0.24
Iran,0.00846,0.00905,0.00973,0.0104,0.0112,0.012,0.00825,0.0126,0.0205,0.0219,0.0394,0.0377,0.037,0.0219,0.0305,0.0309,0.0248,0.0322,0.0291,0.0216,0.0204,0.0193,0.0183,0.0182,0.013,0.0126,0.0177,0.0153,0.0186,0.0185,0.017,0.0175,0.0176,0.0202,0.0188,0.0197,0.0191,0.0178,0.0191,0.0197,0.0221,0.0211,0.0217,0.0161,0.0184,0.0172,0.0189,0.0147,0.0185,0.0207,0.0206,0.0213
Ireland,1.09,1.24,1.31,1.6,1.51,0.729,0.687,0.63,0.605,0.642,0.534,0.54,0.557,0.518,0.586,0.548,0.568,0.595,0.641,0.611,0.699,0.767,0.985,1,1.01,0.97,0.929,0.881,0.852,0.811,0.811,0.811,0.765,0.762,0.648,0.68,0.701,0.663,0.63,0.578,0.634,0.554,0.534,0.506,0.429,0.429,0.418,0.484,0.437,0.433,0.465,0.46
